name,owner,stargazerCount,created_at,current_date,time_since_created_at_in_seconds,releases_count,url
camunda-bpm-platform,camunda,4093,2013-01-03T10:10:31Z,2024-09-21 22:01:17.105717+00:00,369748246.105717,0,https://github.com/camunda/camunda-bpm-platform
IoT-Technical-Guide,IoT-Technology,4091,2019-04-02T01:52:44Z,2024-09-21 22:01:17.105717+00:00,172786113.105717,0,https://github.com/IoT-Technology/IoT-Technical-Guide
campus-imaotai,oddfar,4090,2023-07-07T10:37:13Z,2024-09-21 22:01:17.105717+00:00,38229844.105717,11,https://github.com/oddfar/campus-imaotai
ipscan,angryip,4087,2011-06-28T20:58:48Z,2024-09-21 22:01:17.105717+00:00,417661349.105717,30,https://github.com/angryip/ipscan
ExpandableTextView,Manabu-GT,4084,2014-05-17T19:40:15Z,2024-09-21 22:01:17.105717+00:00,326600462.105717,4,https://github.com/Manabu-GT/ExpandableTextView
allure2,allure-framework,4082,2016-05-27T14:06:05Z,2024-09-21 22:01:17.105717+00:00,262598112.105717,71,https://github.com/allure-framework/allure2
djl,deepjavalibrary,4075,2019-10-29T22:38:54Z,2024-09-21 22:01:17.105717+00:00,154567343.105717,31,https://github.com/deepjavalibrary/djl
malmo,microsoft,4067,2016-05-17T14:58:40Z,2024-09-21 22:01:17.105717+00:00,263458957.105717,21,https://github.com/microsoft/malmo
ViewPagerCards,rubensousa,4066,2016-08-20T15:24:12Z,2024-09-21 22:01:17.105717+00:00,255249425.105717,0,https://github.com/rubensousa/ViewPagerCards
jodd,oblac,4063,2012-09-07T20:26:48Z,2024-09-21 22:01:17.105717+00:00,379906469.105717,37,https://github.com/oblac/jodd
open-location-code,google,4061,2014-09-30T18:26:35Z,2024-09-21 22:01:17.105717+00:00,314854482.105717,5,https://github.com/google/open-location-code
tiny-spring,code4craft,4046,2014-01-10T16:37:57Z,2024-09-21 22:01:17.105717+00:00,337584200.105717,0,https://github.com/code4craft/tiny-spring
crate,crate,4044,2013-04-10T09:17:16Z,2024-09-21 22:01:17.105717+00:00,361370641.105717,107,https://github.com/crate/crate
CC,luckybilly,4042,2017-11-23T16:26:33Z,2024-09-21 22:01:17.105717+00:00,215501684.105717,0,https://github.com/luckybilly/CC
greys-anatomy,oldmanpushcart,4021,2012-11-21T19:39:35Z,2024-09-21 22:01:17.105717+00:00,373429302.105717,0,https://github.com/oldmanpushcart/greys-anatomy
Bolts-Android,BoltsFramework,4017,2014-01-30T04:58:14Z,2024-09-21 22:01:17.105717+00:00,335898183.105717,11,https://github.com/BoltsFramework/Bolts-Android
QAuxiliary,cinit,4017,2022-01-29T06:12:36Z,2024-09-21 22:01:17.105717+00:00,83519321.105717,42,https://github.com/cinit/QAuxiliary
bistoury,qunarcorp,4015,2019-08-01T07:54:25Z,2024-09-21 22:01:17.105717+00:00,162310012.105717,8,https://github.com/qunarcorp/bistoury
Phoenix,Yalantis,4014,2015-01-12T14:11:20Z,2024-09-21 22:01:17.105717+00:00,305884197.105717,1,https://github.com/Yalantis/Phoenix
FloatingActionButton,makovkastar,4007,2014-07-22T13:29:55Z,2024-09-21 22:01:17.105717+00:00,320920282.105717,0,https://github.com/makovkastar/FloatingActionButton
maxwell,zendesk,4004,2015-02-09T22:06:13Z,2024-09-21 22:01:17.105717+00:00,303436504.105717,207,https://github.com/zendesk/maxwell
SmartCropper,pqpo,4004,2017-08-03T11:08:41Z,2024-09-21 22:01:17.105717+00:00,225197556.105717,13,https://github.com/pqpo/SmartCropper
TwinklingRefreshLayout,lcodecorex,3996,2016-03-02T12:11:56Z,2024-09-21 22:01:17.105717+00:00,270035361.105717,0,https://github.com/lcodecorex/TwinklingRefreshLayout
XCL-Charts,xcltapestry,3992,2014-06-09T15:44:50Z,2024-09-21 22:01:17.105717+00:00,324627387.105717,0,https://github.com/xcltapestry/XCL-Charts
dubbo-admin,apache,3987,2018-01-11T05:30:17Z,2024-09-21 22:01:17.105717+00:00,211307460.105717,6,https://github.com/apache/dubbo-admin
BadgeView,qstumn,3985,2017-02-08T02:01:39Z,2024-09-21 22:01:17.105717+00:00,240436778.105717,5,https://github.com/qstumn/BadgeView
Wukong_HRM,WuKongOpenSource,3984,2023-10-17T05:49:52Z,2024-09-21 22:01:17.105717+00:00,29434285.105717,0,https://github.com/WuKongOpenSource/Wukong_HRM
hawk,orhanobut,3983,2015-02-19T22:25:23Z,2024-09-21 22:01:17.105717+00:00,302571354.105717,22,https://github.com/orhanobut/hawk
chunjun,DTStack,3979,2018-04-03T12:44:58Z,2024-09-21 22:01:17.105717+00:00,204196579.105717,30,https://github.com/DTStack/chunjun
BigImageViewer,Piasy,3979,2016-11-06T09:55:02Z,2024-09-21 22:01:17.105717+00:00,248529975.105717,0,https://github.com/Piasy/BigImageViewer
Suwayomi-Server,Suwayomi,3968,2020-12-23T20:31:38Z,2024-09-21 22:01:17.105717+00:00,118200579.105717,56,https://github.com/Suwayomi/Suwayomi-Server
zotfile,jlegewie,3957,2011-12-30T14:47:42Z,2024-09-21 22:01:17.105717+00:00,401699615.105717,33,https://github.com/jlegewie/zotfile
GuideView,binIoter,3956,2016-06-19T08:52:25Z,2024-09-21 22:01:17.105717+00:00,260629732.105717,0,https://github.com/binIoter/GuideView
tech-weekly,mercyblitz,3954,2018-12-03T03:10:52Z,2024-09-21 22:01:17.105717+00:00,183149425.105717,0,https://github.com/mercyblitz/tech-weekly
RxJavaSamples,rengwuxian,3940,2016-03-24T13:08:10Z,2024-09-21 22:01:17.105717+00:00,268131187.105717,3,https://github.com/rengwuxian/RxJavaSamples
android-iconify,JoanZapata,3928,2013-06-12T11:42:01Z,2024-09-21 22:01:17.105717+00:00,355918756.105717,0,https://github.com/JoanZapata/android-iconify
interviewGuide,NotFound9,3926,2016-04-20T07:17:09Z,2024-09-21 22:01:17.105717+00:00,265819448.105717,0,https://github.com/NotFound9/interviewGuide
jstorm,alibaba,3915,2013-09-03T03:53:16Z,2024-09-21 22:01:17.105717+00:00,348775681.105717,22,https://github.com/alibaba/jstorm
RichText,zzhoujay,3913,2015-07-21T09:36:01Z,2024-09-21 22:01:17.105717+00:00,289484716.105717,0,https://github.com/zzhoujay/RichText
aurora,linhaojun857,3912,2022-08-19T13:39:16Z,2024-09-21 22:01:17.105717+00:00,66039721.105717,0,https://github.com/linhaojun857/aurora
java-developer-roadmap,s4kibs4mi,3911,2019-04-23T06:42:13Z,2024-09-21 22:01:17.105717+00:00,170954344.105717,0,https://github.com/s4kibs4mi/java-developer-roadmap
guide-rpc-framework,Snailclimb,3903,2020-05-10T13:24:42Z,2024-09-21 22:01:17.105717+00:00,137838995.105717,0,https://github.com/Snailclimb/guide-rpc-framework
Conductor,bluelinelabs,3895,2016-03-16T18:42:41Z,2024-09-21 22:01:17.105717+00:00,268802316.105717,36,https://github.com/bluelinelabs/Conductor
effective-java-3e-source-code,jbloch,3886,2018-08-03T20:48:35Z,2024-09-21 22:01:17.105717+00:00,193626762.105717,0,https://github.com/jbloch/effective-java-3e-source-code
learning-spark,databricks,3884,2014-06-16T04:47:54Z,2024-09-21 22:01:17.105717+00:00,324062003.105717,0,https://github.com/databricks/learning-spark
XposedInstaller,rovo89,3877,2012-04-02T20:33:05Z,2024-09-21 22:01:17.105717+00:00,393557292.105717,0,https://github.com/rovo89/XposedInstaller
LiveEventBus,JeremyLiao,3868,2018-07-11T07:36:59Z,2024-09-21 22:01:17.105717+00:00,195661458.105717,0,https://github.com/JeremyLiao/LiveEventBus
dolby_beta,nining377,3863,2020-05-19T12:13:36Z,2024-09-21 22:01:17.105717+00:00,137065661.105717,37,https://github.com/nining377/dolby_beta
incubator-streampark,apache,3855,2019-05-27T05:56:03Z,2024-09-21 22:01:17.105717+00:00,168019514.105717,27,https://github.com/apache/incubator-streampark
DataMiningAlgorithm,linyiqun,3854,2015-01-11T02:50:28Z,2024-09-21 22:01:17.105717+00:00,306011449.105717,0,https://github.com/linyiqun/DataMiningAlgorithm
